date,counterparty,description,amount
2025-01-03,LLC "Alpha Trade",Payment for consulting services,18500.00
2025-01-04,Sole Proprietor Petrenko I.I.,Office stationery,-2350.50
2025-01-05,Silpo,Office groceries,-1840.20
2025-01-07,LLC "Beta Soft",CRM module development,42000.00
2025-01-08,Nova Poshta,Document delivery,-185.00
2025-01-09,Sole Proprietor Kovalenko O.M.,Legal services,-7500.00
2025-01-10,PrivatBank,RKO service fee,-450.00
2025-01-11,LLC "Gamma Logistics",Transport services,12300.00
2025-01-13,Epicentr,Meeting room furniture,-15600.00
2025-01-14,Sole Proprietor Ivanov S.S.,Logo design,-8000.00
2025-01-15,LLC "Delta Market",Equipment sale,55000.00
2025-01-16,Kyivstar,Mobile communication,-1200.00
2025-01-17,Vodafone,Corporate tariff,-2400.00
2025-01-18,LLC "Epsilon Prod",Payment for goods,28750.00
2025-01-20,Sole Proprietor Melnyk A.V.,Accounting services,-9500.00
2025-01-21,Rozetka,Printer cartridges,-3200.00
2025-01-22,LLC "Zeta Invest",Service prepayment,67000.00
2025-01-23,Ukrposhta,Postal deliveries,-340.00
2025-01-24,Sole Proprietor Shevchenko V.P.,Office cleaning,-4500.00
2025-01-25,LLC "Eta Build",Office renovation,-23800.00
2025-01-27,LLC "Theta Group",Payment for services,31200.00
2025-01-28,Silpo,Office groceries,-2100.40
2025-01-29,Glovo Business,Lunch delivery,-1850.00
2025-01-30,Sole Proprietor Petrenko I.I.,Cartridges and paper,-3450.00
2025-01-31,LLC "Iota Systems",Software subscription,-5200.00
2025-02-03,LLC "Alpha Trade",Additional payment for services,12500.00
2025-02-04,Nova Poshta,Goods delivery,-420.00
2025-02-05,LLC "Kappa Distrib",Wholesale purchase,-18900.00
2025-02-06,Sole Proprietor Ivanov S.S.,Website branding,-12000.00
2025-02-07,LLC "Beta Soft",System support,15000.00
2025-02-10,PrivatBank,Transfer fee,-180.00
2025-02-11,LLC "Lambda Service",Payment for equipment,38400.00
2025-02-12,Kyivstar,Mobile communication,-1200.00
2025-02-13,Sole Proprietor Kovalenko O.M.,Consultation,-3500.00
2025-02-14,LLC "Mu Export",Product prepayment,72000.00
2025-02-17,Silpo,Groceries,-1980.30
2025-02-18,LLC "Nu Production",Production services,-21500.00
2025-02-19,Sole Proprietor Melnyk A.V.,Accounting for February,-9500.00
2025-02-20,LLC "Xi Corp",Payment for services,24700.00
2025-02-21,Epicentr,Office supplies,-2850.00
2025-02-24,Ukrposhta,Registered letters,-280.00
2025-02-25,LLC "Omicron Tech",Components procurement,-14200.00
2025-02-26,Sole Proprietor Shevchenko V.P.,Cleaning,-4500.00
2025-02-27,LLC "Pi Enterprise",Payment for goods,46800.00
2025-02-28,Vodafone,Corporate communication,-2400.00
2025-03-03,LLC "Rho Logistics",Transportation,-8700.00
2025-03-04,LLC "Sigma Global",Consulting payment,52000.00
2025-03-05,Sole Proprietor Petrenko I.I.,Stationery,-1950.00
2025-03-06,Glovo Business,Meeting catering,-3200.00
2025-03-07,LLC "Tau Innovation",Software development,89500.00
